transaction_id,timestamp,source_suspect_id,target_suspect_id,amount_inr,channel,purpose,risk_flag
TXN00001,2026-08-01 00:00:00,SUS0109,SUS0144,75797.25,Bank Transfer,Goods,Normal
TXN00002,2026-08-02 01:07:00,SUS0014,SUS0038,80965.75,UPI,Loan,Normal
TXN00003,2026-08-03 02:14:00,SUS0032,SUS0102,88884.75,Cash Deposit,Consulting,Normal
TXN00004,2026-08-04 03:21:00,SUS0002,SUS0083,95428.5,Wallet,Unknown,Normal
TXN00005,2026-08-05 04:28:00,SUS0039,SUS0132,103347.5,Bank Transfer,Goods,Normal
TXN00006,2026-08-06 05:35:00,SUS0026,SUS0108,109891.25,UPI,Loan,Normal
TXN00007,2026-08-07 06:42:00,SUS0028,SUS0105,117810.25,Cash Deposit,Consulting,Normal
TXN00008,2026-08-08 07:49:00,SUS0041,SUS0118,125729.25,Wallet,Unknown,Normal
TXN00009,2026-08-09 08:56:00,SUS0103,SUS0105,133648.25,Bank Transfer,Goods,Normal
TXN00010,2026-08-10 09:03:00,SUS0027,SUS0071,141567.25,UPI,Loan,Normal
TXN00011,2026-08-11 10:10:00,SUS0032,SUS0074,148111.0,Cash Deposit,Consulting,Normal
TXN00012,2026-08-12 11:17:00,SUS0087,SUS0147,156030.0,Wallet,Unknown,Normal
TXN00013,2026-08-13 12:24:00,SUS0073,SUS0120,163949.0,Bank Transfer,Goods,Normal
TXN00014,2026-08-14 13:31:00,SUS0055,SUS0103,171868.0,UPI,Loan,Normal
TXN00015,2026-08-15 14:38:00,SUS0013,SUS0111,179787.0,Cash Deposit,Consulting,Normal
TXN00016,2026-08-16 15:45:00,SUS0113,SUS0115,187706.0,Wallet,Unknown,Normal
TXN00017,2026-08-17 16:52:00,SUS0033,SUS0072,195625.0,Bank Transfer,Goods,Normal
TXN00018,2026-08-18 17:59:00,SUS0022,SUS0107,203544.0,UPI,Loan,Normal
TXN00019,2026-08-19 18:06:00,SUS0071,SUS0141,211463.0,Cash Deposit,Consulting,Normal
TXN00020,2026-08-20 19:13:00,SUS0042,SUS0057,219382.0,Wallet,Unknown,Normal
TXN00021,2026-08-21 20:20:00,SUS0003,SUS0034,227301.0,Bank Transfer,Goods,Normal
TXN00022,2026-08-22 21:27:00,SUS0031,SUS0067,235220.0,UPI,Loan,Normal
TXN00023,2026-08-23 22:34:00,SUS0081,SUS0148,243139.0,Cash Deposit,Consulting,Normal
TXN00024,2026-08-24 00:41:00,SUS0056,SUS0115,249682.75,Wallet,Unknown,Normal
TXN00025,2026-08-25 01:48:00,SUS0087,SUS0088,257601.75,Bank Transfer,Goods,Normal
TXN00026,2026-08-26 02:55:00,SUS0099,SUS0123,265520.75,UPI,Loan,Normal
TXN00027,2026-08-27 03:02:00,SUS0059,SUS0084,273439.75,Cash Deposit,Consulting,Normal
TXN00028,2026-08-28 04:09:00,SUS0043,SUS0127,281358.75,Wallet,Unknown,Normal
TXN00029,2026-08-01 05:16:00,SUS0043,SUS0080,289277.75,Bank Transfer,Goods,Normal
TXN00030,2026-08-02 06:23:00,SUS0013,SUS0096,297196.75,UPI,Loan,Normal
TXN00031,2026-08-03 07:30:00,SUS0007,SUS0071,305115.75,Cash Deposit,Consulting,Normal
TXN00032,2026-08-04 08:37:00,SUS0059,SUS0087,313034.75,Wallet,Unknown,Normal
TXN00033,2026-08-05 09:44:00,SUS0032,SUS0082,320953.75,Bank Transfer,Goods,Normal
TXN00034,2026-08-06 10:51:00,SUS0002,SUS0101,328872.75,UPI,Loan,Normal
TXN00035,2026-08-07 11:58:00,SUS0058,SUS0069,336791.75,Cash Deposit,Consulting,Normal
TXN00036,2026-08-08 12:05:00,SUS0033,SUS0099,344710.75,Wallet,Unknown,Normal
TXN00037,2026-08-09 13:12:00,SUS0046,SUS0146,352629.75,Bank Transfer,Goods,Normal
TXN00038,2026-08-10 14:19:00,SUS0109,SUS0145,360548.75,UPI,Loan,Normal
TXN00039,2026-08-11 15:26:00,SUS0029,SUS0064,368467.75,Cash Deposit,Consulting,Normal
TXN00040,2026-08-12 16:33:00,SUS0050,SUS0070,376386.75,Wallet,Unknown,Normal
TXN00041,2026-08-13 17:40:00,SUS0038,SUS0134,384305.75,Bank Transfer,Goods,Normal
TXN00042,2026-08-14 18:47:00,SUS0058,SUS0111,392224.75,UPI,Loan,Normal
TXN00043,2026-08-15 19:54:00,SUS0104,SUS0139,400143.75,Cash Deposit,Consulting,Normal
TXN00044,2026-08-16 20:01:00,SUS0094,SUS0112,408062.75,Wallet,Unknown,Normal
TXN00045,2026-08-17 21:08:00,SUS0046,SUS0121,415981.75,Bank Transfer,Goods,Normal
TXN00046,2026-08-18 22:15:00,SUS0062,SUS0100,423900.75,UPI,Loan,Normal
TXN00047,2026-08-19 00:22:00,SUS0089,SUS0124,431819.75,Cash Deposit,Consulting,Normal
