fir_id,accused_suspect_ids,crime_type,ipc_section,city,filed_date,case_status,police_station
FIR0001,SUS0036;SUS0022;SUS0122,Money Laundering,IT Act 66C,Pune,2026-08-04,Court Trial,PS South
FIR0002,SUS0129;SUS0002,Cyber Fraud,IT Act 66C,Amritsar,2026-01-04,Acquitted,Cyber Cell
FIR0003,SUS0115,Arms Smuggling,NDPS Act 8,Indore,2026-02-22,Convicted,Cyber Cell
FIR0004,SUS0082;SUS0150;SUS0048,Money Laundering,IPC 420,Chandigarh,2026-03-01,Court Trial,Cyber Cell
FIR0005,SUS0142;SUS0059,Extortion,IT Act 66C,Lucknow,2026-07-30,Acquitted,PS West
FIR0006,SUS0024;SUS0012;SUS0014;SUS0114,Organized Robbery,IPC 363,Mumbai,2026-01-04,Chargesheet Filed,Cyber Cell
FIR0007,SUS0087;SUS0115;SUS0104,Human Trafficking,IPC 302,Chandigarh,2026-01-20,Closed,PS West
FIR0008,SUS0144;SUS0073;SUS0024,Arms Smuggling,IPC 384,Nagpur,2026-06-28,Acquitted,Cyber Cell
FIR0009,SUS0081;SUS0090,Extortion,IPC 363,Jaipur,2026-07-18,Acquitted,PS North
FIR0010,SUS0044;SUS0137;SUS0121;SUS0092,Kidnapping,PMLA 3,Surat,2026-08-09,Convicted,PS Central
FIR0011,SUS0013;SUS0036,Money Laundering,IT Act 66C,Lucknow,2026-04-17,Acquitted,PS East
FIR0012,SUS0025;SUS0022;SUS0088;SUS0133,Extortion,IPC 420,Chandigarh,2026-05-24,Convicted,PS East
FIR0013,SUS0134,Arms Smuggling,IPC 420,Amritsar,2026-07-22,Acquitted,PS Central
FIR0014,SUS0148;SUS0031;SUS0030;SUS0107,Cyber Fraud,NDPS Act 8,Amritsar,2026-01-31,Court Trial,PS South
FIR0015,SUS0098;SUS0021;SUS0027,Human Trafficking,IPC 302,Ranchi,2026-05-30,Convicted,PS East
FIR0016,SUS0078;SUS0045;SUS0126,Money Laundering,IPC 384,Jaipur,2026-02-24,Court Trial,Cyber Cell
FIR0017,SUS0075;SUS0144;SUS0127;SUS0118,Drug Trafficking,PMLA 3,Ahmedabad,2026-01-02,Convicted,PS Central
FIR0018,SUS0088;SUS0063,Money Laundering,IPC 420,Pune,2026-02-14,Under Investigation,Cyber Cell
FIR0019,SUS0141,Extortion,IT Act 66C,Indore,2026-02-11,Convicted,PS West
FIR0020,SUS0105,Kidnapping,IT Act 66C,Patna,2026-06-20,Under Investigation,PS North
FIR0021,SUS0093;SUS0053;SUS0141;SUS0056,Money Laundering,PMLA 3,Mumbai,2026-08-01,Court Trial,PS South
FIR0022,SUS0136;SUS0035;SUS0028;SUS0001,Drug Trafficking,IPC 376,Nagpur,2026-08-01,Acquitted,PS East
FIR0023,SUS0006,Drug Trafficking,IPC 376,Indore,2026-04-25,Convicted,PS Central
FIR0024,SUS0112;SUS0149;SUS0058;SUS0043,Organized Robbery,IPC 302,Surat,2026-01-10,Convicted,PS North
FIR0025,SUS0130;SUS0070;SUS0040,Kidnapping,PMLA 3,Patna,2026-06-22,Closed,PS West
FIR0026,SUS0105;SUS0046;SUS0089;SUS0016,Organized Robbery,NDPS Act 8,Nagpur,2026-08-07,Closed,PS South
FIR0027,SUS0082;SUS0114;SUS0035;SUS0110,Kidnapping,Arms Act 25,Nagpur,2026-05-01,Closed,PS Central
FIR0028,SUS0129;SUS0027,Arms Smuggling,PMLA 3,Indore,2026-04-25,Convicted,PS South
FIR0029,SUS0011,Arms Smuggling,Arms Act 25,Ranchi,2026-02-19,Chargesheet Filed,PS North
FIR0030,SUS0048,Extortion,IT Act 66C,Surat,2026-04-22,Chargesheet Filed,PS Central
FIR0031,SUS0033;SUS0100,Arms Smuggling,Arms Act 25,Pune,2026-06-19,Closed,PS East
FIR0032,SUS0062;SUS0003,Drug Trafficking,PMLA 3,Ranchi,2026-06-06,Closed,PS Central
FIR0033,SUS0059;SUS0086;SUS0023;SUS0111,Money Laundering,IPC 384,Nagpur,2026-05-12,Chargesheet Filed,PS South
FIR0034,SUS0103;SUS0123;SUS0095;SUS0032,Money Laundering,IPC 363,Jaipur,2026-02-02,Court Trial,Cyber Cell
FIR0035,SUS0016,Money Laundering,IPC 376,Bhopal,2026-07-04,Acquitted,PS East
FIR0036,SUS0050;SUS0035,Kidnapping,IPC 376,Jaipur,2026-05-07,Closed,PS North
FIR0037,SUS0137;SUS0091,Kidnapping,IPC 384,Ranchi,2026-06-28,Convicted,PS North
FIR0038,SUS0036;SUS0057;SUS0128;SUS0046,Money Laundering,IPC 120B,Jaipur,2026-02-17,Under Investigation,PS Central
FIR0039,SUS0059;SUS0121,Drug Trafficking,IPC 302,Ahmedabad,2026-07-31,Acquitted,PS West
FIR0040,SUS0037;SUS0054;SUS0065,Drug Trafficking,IPC 376,Patna,2026-08-28,Court Trial,PS Central
FIR0041,SUS0051;SUS0049;SUS0060,Human Trafficking,IPC 420,Nagpur,2026-08-16,Acquitted,PS West
FIR0042,SUS0137;SUS0072,Kidnapping,IPC 420,Pune,2026-04-04,Closed,Cyber Cell
FIR0043,SUS0141;SUS0004;SUS0069;SUS0119,Organized Robbery,IPC 420,Surat,2026-02-26,Convicted,Cyber Cell
FIR0044,SUS0030;SUS0123;SUS0108,Kidnapping,IPC 363,Delhi,2026-05-27,Acquitted,Cyber Cell
FIR0045,SUS0076;SUS0095;SUS0092;SUS0079,Extortion,IPC 420,Kanpur,2026-03-19,Court Trial,Cyber Cell
FIR0046,SUS0119;SUS0041,Arms Smuggling,IPC 302,Kanpur,2026-04-22,Chargesheet Filed,Cyber Cell
FIR0047,SUS0116;SUS0051,Kidnapping,IPC 363,Ahmedabad,2026-06-15,Closed,PS West
