edge_id,source_suspect_id,target_suspect_id,interaction_weight,edge_type
E0001,SUS0109,SUS0144,13,Financial+Call
E0002,SUS0014,SUS0038,11,Financial+Call
E0003,SUS0032,SUS0102,11,Financial+Call
E0004,SUS0002,SUS0083,10,Financial+Call
E0005,SUS0039,SUS0132,10,Financial+Call
E0006,SUS0026,SUS0108,9,Financial+Call
E0007,SUS0028,SUS0105,9,Financial+Call
E0008,SUS0041,SUS0118,9,Financial+Call
E0009,SUS0103,SUS0105,9,Financial+Call
E0010,SUS0027,SUS0071,9,Financial+Call
E0011,SUS0032,SUS0074,8,Financial+Call
E0012,SUS0087,SUS0147,8,Financial+Call
E0013,SUS0073,SUS0120,8,Financial+Call
E0014,SUS0055,SUS0103,8,Financial+Call
E0015,SUS0013,SUS0111,8,Financial+Call
E0016,SUS0113,SUS0115,8,Financial+Call
E0017,SUS0033,SUS0072,8,Financial+Call
E0018,SUS0022,SUS0107,8,Financial+Call
E0019,SUS0071,SUS0141,8,Financial+Call
E0020,SUS0042,SUS0057,8,Financial+Call
E0021,SUS0003,SUS0034,8,Financial+Call
E0022,SUS0031,SUS0067,8,Financial+Call
E0023,SUS0081,SUS0148,8,Financial+Call
E0024,SUS0056,SUS0115,7,Financial+Call
E0025,SUS0087,SUS0088,7,Financial+Call
E0026,SUS0099,SUS0123,7,Financial+Call
E0027,SUS0059,SUS0084,7,Financial+Call
E0028,SUS0043,SUS0127,7,Financial+Call
E0029,SUS0043,SUS0080,7,Financial+Call
E0030,SUS0013,SUS0096,7,Financial+Call
E0031,SUS0007,SUS0071,7,Financial+Call
E0032,SUS0059,SUS0087,7,Financial+Call
E0033,SUS0032,SUS0082,7,Financial+Call
E0034,SUS0002,SUS0101,7,Financial+Call
E0035,SUS0058,SUS0069,7,Financial+Call
E0036,SUS0033,SUS0099,7,Financial+Call
E0037,SUS0046,SUS0146,7,Financial+Call
E0038,SUS0109,SUS0145,7,Financial+Call
E0039,SUS0029,SUS0064,7,Financial+Call
E0040,SUS0050,SUS0070,7,Financial+Call
E0041,SUS0038,SUS0134,7,Financial+Call
E0042,SUS0058,SUS0111,7,Financial+Call
E0043,SUS0104,SUS0139,7,Financial+Call
E0044,SUS0094,SUS0112,7,Financial+Call
E0045,SUS0046,SUS0121,7,Financial+Call
E0046,SUS0062,SUS0100,7,Financial+Call
E0047,SUS0089,SUS0124,7,Financial+Call
E0048,SUS0032,SUS0044,7,Financial+Call
E0049,SUS0062,SUS0071,7,Financial+Call
E0050,SUS0086,SUS0139,7,Financial+Call
E0051,SUS0138,SUS0143,7,Financial+Call
E0052,SUS0066,SUS0127,7,Financial+Call
E0053,SUS0048,SUS0050,7,Financial+Call
E0054,SUS0083,SUS0099,6,Financial+Call
E0055,SUS0090,SUS0098,6,Financial+Call
E0056,SUS0063,SUS0139,6,Financial+Call
E0057,SUS0029,SUS0055,6,Financial+Call
E0058,SUS0008,SUS0067,6,Financial+Call
E0059,SUS0026,SUS0098,6,Financial+Call
E0060,SUS0028,SUS0091,6,Financial+Call
E0061,SUS0039,SUS0134,6,Financial+Call
E0062,SUS0064,SUS0103,6,Financial+Call
E0063,SUS0060,SUS0123,6,Financial+Call
E0064,SUS0068,SUS0145,6,Financial+Call
E0065,SUS0063,SUS0113,6,Financial+Call
E0066,SUS0083,SUS0101,6,Financial+Call
E0067,SUS0026,SUS0066,6,Financial+Call
E0068,SUS0015,SUS0039,6,Financial+Call
E0069,SUS0046,SUS0125,6,Financial+Call
E0070,SUS0007,SUS0036,6,Financial+Call
E0071,SUS0093,SUS0137,6,Financial+Call
E0072,SUS0002,SUS0033,6,Financial+Call
